房号, 户型, 楼层, 面积, 朝向, 电梯, 放盘时间, 成交时间, 周期, 挂牌价, 成交价, 单价
108401536361, 3室1厅1厨1卫, 低楼层 (共32层), 96, 北, 有, 2020-08-22, 2020.08.29, 8, 530, 527
108401466961, 2室1厅1厨1卫, 低楼层 (共32层), 78, 北, 有, 2020-07-30, 2020.08.26, 27, 425, 415
108400240292, 3室2厅1厨2卫, 高楼层 (共32层), 95, 西北, 有, 2019-01-27, 2020.07.05, 526, 483, 480
108400848392, 2室1厅1厨1卫, 低楼层 (共32层), 78, 北, 有, 2019-12-03, 2020.05.04, 154, 385, 381
108400923420, 2室2厅1厨1卫, 中楼层 (共32层), 78, 北, 有, 2020-01-04, 2020.05.04, 122, 396, 392
108401071285, 3室2厅1厨1卫, 高楼层 (共32层), 96, 北, 有, 2020-04-05, 2020.04.27, 23, 490, 481
108400978793, 3室2厅1厨2卫, 高楼层 (共32层), 96, 东北, 有, 2020-03-03, 2020.03.24, 22, 520, 513
108400776223, 3室1厅1厨1卫, 高楼层 (共32层), 95, 北, 有, 2019-10-30, 2019.11.04, 5, 500, 495
